location,year,male,female
GRC,1977,72.4,77.0
GRC,1978,72.9,77.5
GRC,1979,73.2,77.8
GRC,1980,73.0,77.5
GRC,1981,73.4,77.9
GRC,1982,73.6,78.2
GRC,1983,73.4,78.0
GRC,1984,73.8,78.6
GRC,1985,73.5,78.4
GRC,1986,74.1,78.8
GRC,1987,73.9,78.6
GRC,1988,74.3,79.3
GRC,1989,74.5,79.5
GRC,1990,74.7,79.5
GRC,1991,74.8,79.8
GRC,1992,74.7,79.7
GRC,1993,75.1,80.1
GRC,1994,75.3,80.3
GRC,1995,75.2,80.4
GRC,1996,75.3,80.6
GRC,1997,75.7,81.0
GRC,1998,75.8,80.9
GRC,1999,75.9,81.1
GRC,2000,75.9,81.3
GRC,2001,76.3,81.9
GRC,2002,76.4,82.0
GRC,2003,76.6,82.0
GRC,2004,76.6,82.2
GRC,2005,76.8,82.5
GRC,2006,77.1,82.7
GRC,2007,76.9,82.5
GRC,2008,77.5,83.0
GRC,2009,77.5,83.3
GRC,2010,78.0,83.3
GRC,2011,78.0,83.6
GRC,2012,78.0,83.4
GRC,2013,78.7,84.0
GRC,2014,78.8,84.1
GRC,2015,78.5,83.7
HUN,1960,65.9,70.2
HUN,1961,66.8,71.2
HUN,1962,65.7,70.1
HUN,1963,66.6,71.3
HUN,1964,67.0,71.9
HUN,1965,66.7,71.5
HUN,1966,67.5,72.3
HUN,1967,66.9,72.1
HUN,1968,66.6,72.0
HUN,1969,66.7,72.1
HUN,1970,66.3,72.1
HUN,1971,66.1,72.1
HUN,1972,66.8,72.7
HUN,1973,66.6,72.6
HUN,1974,66.3,72.3
HUN,1975,66.3,72.5
HUN,1976,66.7,72.6
HUN,1977,66.8,73.1
HUN,1978,66.1,72.8
HUN,1979,66.2,73.2
HUN,1980,65.5,72.8
HUN,1981,65.5,73.0
HUN,1982,65.7,73.3
HUN,1983,65.1,73.1
HUN,1984,65.1,73.3
HUN,1985,65.1,73.2
HUN,1986,65.3,73.3
HUN,1987,65.7,73.9
HUN,1988,66.2,74.2
HUN,1989,65.4,73.8
HUN,1990,65.2,73.8
HUN,1991,65.1,74.0
HUN,1992,64.7,74.0
HUN,1993,64.7,74.0
HUN,1994,65.0,74.5
HUN,1995,65.4,74.8
HUN,1996,66.3,75.0
HUN,1997,66.7,75.5
HUN,1998,66.5,75.6
HUN,1999,66.7,75.6
HUN,2000,67.5,76.2
HUN,2001,68.2,76.7
HUN,2002,68.3,76.7
HUN,2003,68.4,76.7
HUN,2004,68.7,77.2
HUN,2005,68.7,77.2
HUN,2006,69.2,77.8
HUN,2007,69.4,77.8
HUN,2008,70.0,78.3
HUN,2009,70.3,78.4
HUN,2010,70.7,78.6
HUN,2011,71.2,78.7
HUN,2012,71.6,78.7
HUN,2013,72.2,79.1
HUN,2014,72.3,79.4
HUN,2015,72.3,79.0
IDN,1960,47.3,50.1
IDN,1961,47.9,50.7
IDN,1962,48.6,51.3
IDN,1963,49.2,51.8
IDN,1964,49.8,52.4
IDN,1965,50.4,53.0
IDN,1966,51.0,53.5
IDN,1967,51.6,54.1
IDN,1968,52.2,54.6
IDN,1969,52.8,55.2
IDN,1970,53.4,55.7
IDN,1971,54.0,56.3
IDN,1972,54.5,56.8
IDN,1973,55.1,57.4
IDN,1974,55.6,57.9
IDN,1975,56.1,58.4
IDN,1976,56.6,58.9
IDN,1977,57.1,59.4
IDN,1978,57.6,59.9
IDN,1979,58.0,60.3
IDN,1980,58.5,60.8
IDN,1981,58.9,61.2
IDN,1982,59.3,61.6
IDN,1983,59.7,62.0
IDN,1984,60.0,62.4
IDN,1985,60.3,62.8
IDN,1986,60.6,63.2
IDN,1987,60.9,63.6
IDN,1988,61.2,64.0
IDN,1989,61.5,64.4
IDN,1990,61.9,64.7
IDN,1991,62.2,65.1
IDN,1992,62.5,65.5
IDN,1993,62.9,65.9
IDN,1994,63.2,66.2
IDN,1995,63.5,66.6
IDN,1996,63.8,66.9
IDN,1997,64.0,67.2
IDN,1998,64.2,67.5
IDN,1999,64.4,67.8
IDN,2000,64.6,68.0
IDN,2001,64.7,68.2
IDN,2002,64.8,68.5
IDN,2003,65.0,68.7
IDN,2004,65.1,69.0
IDN,2005,65.2,69.2
IDN,2006,65.4,69.4
IDN,2007,65.6,69.7
IDN,2008,65.7,69.9
IDN,2009,65.9,70.1
IDN,2010,66.1,70.3
IDN,2011,66.3,70.5
IDN,2012,66.5,70.6
IDN,2013,66.7,70.8
IDN,2014,66.9,71.0
IDN,2015,67.0,71.2
IND,1960,41.9,40.4
IND,1961,42.5,41.0
IND,1962,43.1,41.7
IND,1963,43.8,42.3
IND,1964,44.4,43.0
IND,1965,45.0,43.6
IND,1966,45.7,44.3
IND,1967,46.3,45.0
IND,1968,47.0,45.7
IND,1969,47.6,46.4
IND,1970,48.3,47.2
IND,1971,48.9,47.9
IND,1972,49.5,48.6
IND,1973,50.1,49.4
IND,1974,50.7,50.1
IND,1975,51.3,50.8
IND,1976,51.8,51.5
IND,1977,52.4,52.2
IND,1978,52.9,52.8
IND,1979,53.3,53.4
IND,1980,53.8,54.0
IND,1981,54.2,54.5
IND,1982,54.6,54.9
IND,1983,55.0,55.3
IND,1984,55.3,55.7
IND,1985,55.7,56.0
IND,1986,56.1,56.4
IND,1987,56.4,56.8
IND,1988,56.8,57.3
IND,1989,57.2,57.8
IND,1990,57.6,58.3
IND,1991,58.0,58.8
IND,1992,58.5,59.4
IND,1993,58.9,60.0
IND,1994,59.4,60.6
IND,1995,59.8,61.1
IND,1996,60.2,61.6
IND,1997,60.6,62.1
IND,1998,61.0,62.6
IND,1999,61.4,63.1
IND,2000,61.8,63.5
IND,2001,62.2,63.9
IND,2002,62.6,64.3
IND,2003,62.9,64.7
IND,2004,63.3,65.0
IND,2005,63.7,65.4
IND,2006,64.0,65.8
IND,2007,64.4,66.3
IND,2008,64.7,66.8
IND,2009,65.0,67.2
IND,2010,65.4,67.7
IND,2011,65.7,68.2
IND,2012,66.0,68.7
IND,2013,66.3,69.1
IND,2014,66.6,69.5
IND,2015,66.9,69.9
IRL,1960,68.1,71.9
IRL,1970,68.8,73.5
IRL,1978,68.1,74.9
IRL,1979,69.5,75.0
IRL,1980,70.1,75.6
IRL,1981,70.1,75.6
IRL,1982,70.1,75.6
IRL,1985,70.7,76.1
IRL,1986,70.8,76.4
IRL,1987,71.6,77.3
IRL,1988,71.7,77.3
IRL,1989,71.7,77.2
IRL,1990,72.1,77.7
IRL,1991,72.3,77.9
IRL,1992,72.7,78.3
IRL,1993,72.5,78.1
IRL,1994,73.1,78.6
IRL,1995,72.8,78.3
IRL,1996,73.1,78.7
IRL,1997,73.4,78.7
IRL,1998,73.4,79.1
IRL,1999,73.4,78.9
IRL,2000,74.0,79.2
IRL,2001,74.5,79.9
IRL,2002,75.0,80.4
IRL,2003,75.7,80.7
IRL,2004,76.1,81.1
IRL,2005,76.7,81.3
IRL,2006,76.9,81.7
IRL,2007,77.3,82.1
IRL,2008,77.9,82.4
IRL,2009,77.8,82.7
IRL,2010,78.5,83.1
IRL,2011,78.6,83.0
IRL,2012,78.7,83.1
IRL,2013,79.0,83.1
IRL,2014,79.3,83.5
IRL,2015,79.6,83.4
ISL,1961,70.8,76.3
ISL,1962,71.4,76.2
ISL,1963,70.2,76.1
ISL,1964,70.8,76.4
ISL,1965,71.4,76.4
ISL,1966,70.3,76.4
ISL,1967,71.1,76.6
ISL,1968,71.6,76.5
ISL,1969,71.2,76.4
ISL,1970,70.7,77.3
ISL,1971,70.8,76.5
ISL,1972,72.1,76.9
ISL,1973,71.5,77.6
ISL,1974,71.2,78.0
ISL,1975,72.3,79.0
ISL,1976,73.9,80.2
ISL,1977,73.3,79.6
ISL,1978,73.8,79.6
ISL,1980,73.5,80.4
ISL,1981,73.4,79.8
ISL,1982,74.6,79.6
ISL,1983,73.3,80.6
ISL,1984,74.8,80.5
ISL,1985,74.9,80.4
ISL,1986,75.4,80.7
ISL,1987,74.9,79.9
ISL,1988,74.4,79.9
ISL,1989,76.2,80.2
ISL,1990,75.5,80.7
ISL,1991,74.9,81.3
ISL,1992,76.8,80.8
ISL,1993,77.1,80.8
ISL,1994,77.1,81.5
ISL,1995,76.0,80.1
ISL,1996,76.5,81.2
ISL,1997,76.3,81.6
ISL,1998,77.7,81.6
ISL,1999,77.4,81.4
ISL,2000,77.8,81.6
ISL,2001,78.3,83.2
ISL,2002,78.6,82.5
ISL,2003,79.5,82.5
ISL,2004,78.9,83.2
ISL,2005,79.6,83.5
ISL,2006,79.5,82.9
ISL,2007,79.6,83.4
ISL,2008,80.0,83.3
ISL,2009,79.8,83.8
ISL,2010,79.8,84.1
ISL,2011,80.7,84.1
ISL,2012,81.6,84.3
ISL,2013,80.5,83.7
ISL,2014,81.3,84.5
ISL,2015,81.2,83.8
ISR,1971,70.1,73.4
ISR,1972,70.1,72.8
ISR,1973,70.2,73.2
ISR,1974,70.1,73.3
ISR,1975,70.3,73.9
ISR,1976,71.2,74.8
ISR,1977,71.3,74.7
ISR,1978,71.5,75.0
ISR,1979,71.8,75.3
ISR,1980,72.1,75.7
ISR,1981,72.7,75.9
ISR,1982,72.5,75.8
ISR,1983,72.8,76.2
ISR,1984,73.1,76.6
ISR,1985,73.5,77.0
ISR,1986,73.2,76.8
ISR,1987,73.6,77.0
ISR,1988,73.9,77.5
ISR,1989,74.6,78.1
ISR,1990,74.9,78.4
ISR,1991,75.1,78.5
ISR,1992,74.7,78.4
ISR,1993,75.3,79.1
ISR,1994,75.5,79.4
ISR,1995,75.5,79.5
ISR,1996,76.3,80.0
ISR,1997,76.0,80.1
ISR,1998,76.1,80.3
ISR,1999,76.6,80.4
ISR,2000,76.7,80.9
ISR,2001,77.3,81.2
ISR,2002,77.5,81.5
ISR,2003,77.6,81.8
ISR,2004,78.0,82.4
ISR,2005,78.2,82.2
ISR,2006,78.7,82.5
ISR,2007,78.7,82.4
ISR,2008,79.0,83.0
ISR,2009,79.6,83.3
ISR,2010,79.7,83.6
ISR,2011,79.9,83.5
ISR,2012,79.9,83.6
ISR,2013,80.3,83.9
ISR,2014,80.3,84.1
ISR,2015,80.1,84.1
ITA,1961,67.2,72.3
ITA,1971,69.0,74.9
ITA,1974,69.5,75.6
ITA,1975,69.5,75.8
ITA,1976,69.6,76.0
ITA,1977,70.0,76.7
ITA,1978,70.4,77.2
ITA,1979,70.6,77.5
ITA,1980,70.6,77.4
ITA,1981,70.9,77.6
ITA,1982,71.3,78.0
ITA,1983,71.5,78.1
ITA,1984,71.8,78.2
ITA,1985,72.3,78.8
ITA,1986,72.6,79.1
ITA,1987,73.0,79.6
ITA,1988,73.2,79.7
ITA,1989,73.6,80.2
ITA,1990,73.8,80.3
ITA,1991,73.8,80.4
ITA,1992,74.2,80.8
ITA,1993,74.6,81.0
ITA,1994,74.8,81.2
ITA,1995,75.0,81.5
ITA,1996,75.4,81.8
ITA,1997,75.8,82.0
ITA,1998,76.0,82.1
ITA,1999,76.4,82.6
ITA,2000,76.9,82.8
ITA,2001,77.2,83.2
ITA,2002,77.4,83.2
ITA,2003,77.3,82.8
ITA,2004,78.0,83.7
ITA,2005,78.1,83.6
ITA,2006,78.6,84.1
ITA,2007,78.8,84.2
ITA,2008,78.9,84.2
ITA,2009,79.1,84.3
ITA,2010,79.5,84.7
ITA,2011,79.7,84.8
ITA,2012,79.8,84.8
ITA,2013,80.3,85.2
ITA,2014,80.7,85.6
ITA,2015,80.3,84.9
JPN,1960,65.3,70.2
JPN,1961,66.0,70.8
JPN,1962,66.2,71.2
JPN,1963,67.2,72.3
JPN,1964,67.7,72.9
JPN,1965,67.7,72.9
JPN,1966,68.4,73.6
JPN,1967,68.9,74.2
JPN,1968,69.1,74.3
JPN,1969,69.2,74.7
JPN,1970,69.3,74.7
JPN,1971,70.2,75.6
JPN,1972,70.5,75.9
JPN,1973,70.7,76.0
JPN,1974,71.2,76.3
JPN,1975,71.7,76.9
JPN,1976,72.2,77.4
JPN,1977,72.7,78.0
JPN,1978,73.0,78.3
JPN,1979,73.5,78.9
JPN,1980,73.4,78.8
JPN,1981,73.8,79.1
JPN,1982,74.2,79.7
JPN,1983,74.2,79.8
JPN,1984,74.5,80.2
JPN,1985,74.8,80.5
JPN,1986,75.2,80.9
JPN,1987,75.6,81.4
JPN,1988,75.5,81.3
JPN,1989,75.9,81.8
JPN,1990,75.9,81.9
JPN,1991,76.1,82.1
JPN,1992,76.1,82.2
JPN,1993,76.3,82.5
JPN,1994,76.6,83.0
JPN,1995,76.4,82.9
JPN,1996,77.0,83.6
JPN,1997,77.2,83.8
JPN,1998,77.2,84.0
JPN,1999,77.1,84.0
JPN,2000,77.7,84.6
JPN,2001,78.1,84.9
JPN,2002,78.3,85.2
JPN,2003,78.4,85.3
JPN,2004,78.6,85.6
JPN,2005,78.6,85.5
JPN,2006,79.0,85.8
JPN,2007,79.2,86.0
JPN,2008,79.3,86.1
JPN,2009,79.6,86.4
JPN,2010,79.6,86.3
JPN,2011,79.4,85.9
JPN,2012,79.9,86.4
JPN,2013,80.2,86.6
JPN,2014,80.5,86.8
JPN,2015,80.8,87.1
KOR,1970,58.7,65.8
KOR,1971,59.1,66.3
KOR,1972,59.4,66.8
KOR,1973,59.7,67.3
KOR,1974,60.0,67.8
KOR,1975,60.3,68.2
KOR,1976,60.6,68.6
KOR,1977,60.9,69.1
KOR,1978,61.1,69.5
KOR,1979,61.4,69.9
KOR,1980,61.9,70.4
KOR,1981,62.4,70.9
KOR,1982,62.9,71.5
KOR,1983,63.4,71.9
KOR,1984,64.0,72.6
KOR,1985,64.6,73.2
KOR,1986,65.3,73.8
KOR,1987,65.9,74.3
KOR,1988,66.5,74.8
KOR,1989,67.0,75.3
KOR,1990,67.5,75.9
KOR,1991,67.9,76.4
KOR,1992,68.4,76.8
KOR,1993,68.9,77.3
KOR,1994,69.3,77.7
KOR,1995,69.7,77.9
KOR,1996,70.2,78.3
KOR,1997,70.7,78.7
KOR,1998,71.2,79.0
KOR,1999,71.8,79.2
KOR,2000,72.3,79.7
KOR,2001,72.9,80.1
KOR,2002,73.4,80.3
KOR,2003,73.8,80.8
KOR,2004,74.3,81.2
KOR,2005,74.9,81.6
KOR,2006,75.4,82.1
KOR,2007,75.9,82.5
KOR,2008,76.2,83.0
KOR,2009,76.7,83.4
KOR,2010,76.8,83.6
KOR,2011,77.3,84.0
KOR,2012,77.6,84.2
KOR,2013,78.1,84.6
KOR,2014,78.6,85.0
KOR,2015,79.0,85.2
LTU,1970,66.8,75.0
LTU,1971,67.6,76.1
LTU,1972,66.9,75.4
LTU,1973,67.3,75.6
LTU,1974,67.1,75.7
LTU,1975,66.4,75.5
LTU,1976,66.3,75.7
LTU,1977,66.2,75.5
LTU,1978,66.0,75.2
LTU,1979,65.5,75.4
LTU,1980,65.4,75.4
LTU,1981,65.3,75.4
LTU,1982,65.7,75.8
LTU,1983,65.7,75.7
LTU,1984,65.1,75.3
LTU,1985,65.6,75.3
LTU,1986,67.8,76.4
LTU,1987,67.6,76.3
LTU,1988,67.4,76.3
LTU,1989,66.9,76.3
LTU,1990,66.4,76.3
LTU,1991,65.1,76.0
LTU,1992,64.8,76.0
LTU,1993,63.1,75.0
LTU,1994,62.5,74.9
LTU,1995,63.3,75.1
LTU,1996,64.6,75.9
LTU,1997,65.5,76.6
LTU,1998,66.0,76.7
LTU,1999,66.3,77.0
LTU,2000,66.7,77.4
LTU,2001,65.9,77.4
LTU,2002,66.1,77.4
LTU,2003,66.4,77.7
LTU,2004,66.2,77.7
LTU,2005,65.2,77.4
LTU,2006,65.0,77.1
LTU,2007,64.5,77.2
LTU,2008,65.9,77.6
LTU,2009,67.1,78.7
LTU,2010,67.6,78.9
LTU,2011,68.1,79.3
LTU,2012,68.4,79.6
LTU,2013,68.5,79.6
LTU,2014,69.2,80.1
LTU,2015,69.2,79.7
LUX,1960,66.5,72.2
LUX,1971,66.2,73.1
LUX,1972,67.7,74.1
LUX,1973,66.9,74.6
LUX,1974,67.1,74.5
LUX,1975,67.3,74.3
LUX,1976,67.2,74.3
LUX,1977,68.2,76.2
LUX,1978,68.5,75.6
LUX,1979,69.0,76.5
LUX,1980,70.0,75.6
LUX,1981,68.9,76.3
LUX,1982,68.9,76.4
LUX,1983,69.9,77.1
LUX,1984,69.7,76.9
LUX,1985,70.3,77.3
LUX,1986,70.7,78.7
LUX,1987,70.6,77.9
LUX,1988,71.0,79.0
LUX,1989,71.2,78.4
LUX,1990,72.4,78.7
LUX,1991,72.0,79.3
LUX,1992,71.9,78.6
LUX,1993,72.2,79.6
LUX,1994,73.2,79.9
LUX,1995,73.0,80.6
LUX,1996,73.3,80.2
LUX,1997,74.0,80.0
LUX,1998,73.7,80.8
LUX,1999,74.4,81.4
LUX,2000,74.6,81.3
LUX,2001,75.1,80.7
LUX,2002,74.6,81.5
LUX,2003,74.8,80.8
LUX,2004,76.0,82.4
LUX,2005,76.7,82.3
LUX,2006,76.8,81.9
LUX,2007,76.7,82.2
LUX,2008,78.1,83.1
LUX,2009,78.1,83.3
LUX,2010,77.9,83.5
LUX,2011,78.5,83.6
LUX,2012,79.1,83.8
LUX,2013,79.8,83.9
LUX,2014,79.4,85.2
LUX,2015,80.0,84.7
LVA,2002,64.4,75.8
LVA,2003,65.3,75.7
LVA,2004,65.6,76.0
LVA,2005,64.9,76.3
LVA,2006,65.0,76.1
LVA,2007,65.3,76.2
LVA,2008,66.5,77.5
LVA,2009,67.5,77.7
LVA,2010,67.9,78.0
LVA,2011,68.6,78.8
LVA,2012,68.9,78.9
LVA,2013,69.3,78.9
LVA,2014,69.1,79.4
LVA,2015,69.7,79.5
MEX,1960,55.8,59.2
MEX,1961,56.5,59.8
MEX,1962,57.1,60.5
MEX,1963,57.6,61.0
MEX,1964,58.1,61.6
MEX,1965,58.5,62.1
MEX,1966,58.8,62.5
MEX,1967,59.0,62.9
MEX,1968,59.2,63.3
MEX,1969,59.5,63.7
MEX,1970,58.5,63.2
MEX,1971,60.2,64.6
MEX,1972,60.7,65.4
MEX,1973,61.2,66.1
MEX,1974,61.7,66.7
MEX,1975,62.0,67.3
MEX,1976,62.4,67.9
MEX,1977,62.8,68.5
MEX,1978,63.1,69.0
MEX,1979,63.6,69.6
MEX,1980,64.1,70.2
MEX,1981,64.6,70.7
MEX,1982,65.1,71.2
MEX,1983,65.6,71.6
MEX,1984,66.1,72.0
MEX,1985,66.6,72.4
MEX,1986,67.0,72.8
MEX,1987,67.3,73.1
MEX,1988,67.7,73.5
MEX,1989,67.9,73.6
MEX,1990,67.0,74.0
MEX,1991,67.5,74.3
MEX,1992,68.0,74.6
MEX,1993,68.4,74.9
MEX,1994,68.8,75.1
MEX,1995,69.2,75.3
MEX,1996,69.5,75.5
MEX,1997,69.8,75.7
MEX,1998,70.0,75.9
MEX,1999,70.3,76.0
MEX,2000,70.5,76.1
MEX,2001,70.7,76.3
MEX,2002,70.8,76.4
MEX,2003,71.0,76.5
MEX,2004,71.2,76.6
MEX,2005,71.3,76.7
MEX,2006,71.4,76.8
MEX,2007,71.5,76.9
MEX,2008,71.3,76.9
MEX,2009,71.1,76.9
MEX,2010,71.1,77.0
MEX,2011,71.2,77.2
MEX,2012,71.4,77.3
MEX,2013,71.7,77.4
MEX,2014,72.1,77.5
MEX,2015,72.3,77.7
MEX,2016,72.3,77.7
NLD,1960,71.5,75.4
NLD,1961,71.6,75.9
NLD,1962,71.1,75.7
NLD,1963,71.0,75.8
NLD,1964,71.3,76.3
NLD,1965,71.1,76.1
NLD,1966,71.0,76.1
NLD,1967,71.2,76.6
NLD,1968,70.9,76.4
NLD,1969,70.9,76.3
NLD,1970,70.8,76.5
NLD,1971,71.0,76.8
NLD,1972,70.8,76.8
NLD,1973,71.3,77.1
NLD,1974,71.6,77.6
NLD,1975,71.5,77.7
NLD,1976,71.5,77.9
NLD,1977,72.1,78.5
NLD,1978,72.0,78.5
NLD,1979,72.5,78.9
NLD,1980,72.5,79.2
NLD,1981,72.7,79.3
NLD,1982,72.7,79.4
NLD,1983,72.9,79.6
NLD,1984,73.0,79.7
NLD,1985,73.1,79.8
NLD,1986,73.1,79.7
NLD,1987,73.5,80.3
NLD,1988,73.7,80.4
NLD,1989,73.7,80.1
NLD,1990,73.8,80.2
NLD,1991,74.1,80.3
NLD,1992,74.3,80.4
NLD,1993,74.0,80.1
NLD,1994,74.6,80.4
NLD,1995,74.6,80.5
NLD,1996,74.7,80.5
NLD,1997,75.2,80.7
NLD,1998,75.2,80.8
NLD,1999,75.3,80.5
NLD,2000,75.6,80.7
NLD,2001,75.8,80.8
NLD,2002,76.0,80.7
NLD,2003,76.3,81.0
NLD,2004,76.9,81.5
NLD,2005,77.2,81.7
NLD,2006,77.7,82.0
NLD,2007,78.1,82.5
NLD,2008,78.4,82.5
NLD,2009,78.7,82.9
NLD,2010,78.9,83.0
NLD,2011,79.4,83.1
NLD,2012,79.3,83.0
NLD,2013,79.5,83.2
NLD,2014,80.0,83.5
NLD,2015,79.9,83.2
NOR,1960,71.6,76.0
NOR,1961,71.4,76.2
NOR,1962,71.2,76.2
NOR,1963,71.1,75.7
NOR,1964,71.5,76.3
NOR,1965,71.3,76.7
NOR,1966,71.6,76.9
NOR,1967,71.5,77.1
NOR,1968,71.4,77.0
NOR,1969,71.0,76.9
NOR,1970,71.2,77.5
NOR,1971,71.3,77.5
NOR,1972,71.5,77.7
NOR,1973,71.5,77.9
NOR,1974,71.9,78.2
NOR,1975,71.9,78.3
NOR,1976,72.2,78.4
NOR,1977,72.5,78.9
NOR,1978,72.6,78.9
NOR,1979,72.4,79.1
NOR,1980,72.4,79.3
NOR,1981,72.7,79.4
NOR,1982,72.7,79.7
NOR,1983,72.8,79.7
NOR,1984,73.0,79.8
NOR,1985,72.6,79.5
NOR,1986,72.9,80.0
NOR,1987,72.8,79.7
NOR,1988,73.1,79.7
NOR,1989,73.3,80.0
NOR,1990,73.4,79.9
NOR,1991,74.0,80.2
NOR,1992,74.2,80.5
NOR,1993,74.2,80.3
NOR,1994,74.9,80.8
NOR,1995,74.8,80.9
NOR,1996,75.4,81.2
NOR,1997,75.5,81.1
NOR,1998,75.6,81.4
NOR,1999,75.6,81.2
NOR,2000,76.0,81.5
NOR,2001,76.2,81.6
NOR,2002,76.4,81.6
NOR,2003,77.1,82.1
NOR,2004,77.6,82.5
NOR,2005,77.8,82.7
NOR,2006,78.2,82.9
NOR,2007,78.3,82.9
NOR,2008,78.4,83.2
NOR,2009,78.7,83.2
NOR,2010,79.0,83.3
NOR,2011,79.1,83.6
NOR,2012,79.5,83.5
NOR,2013,79.8,83.8
NOR,2014,80.1,84.2
NOR,2015,80.5,84.2
NZL,1961,68.4,73.8
NZL,1962,68.4,73.9
NZL,1963,68.3,74.0
NZL,1964,68.3,74.1
NZL,1965,68.2,74.2
NZL,1966,68.2,74.3
NZL,1967,68.3,74.4
NZL,1968,68.3,74.4
NZL,1969,68.4,74.5
NZL,1970,68.5,74.5
NZL,1971,68.5,74.6
NZL,1972,68.6,74.8
NZL,1973,68.7,74.9
NZL,1974,68.8,75.1
NZL,1975,68.9,75.3
NZL,1976,69.0,75.5
NZL,1977,69.3,75.6
NZL,1978,69.6,75.8
NZL,1979,69.8,76.0
NZL,1980,70.1,76.2
NZL,1981,70.4,76.4
NZL,1982,70.5,76.6
NZL,1983,70.7,76.7
NZL,1984,70.8,76.8
NZL,1985,71.0,77.0
NZL,1986,71.1,77.1
NZL,1987,71.5,77.4
NZL,1988,71.8,77.8
NZL,1989,72.2,78.1
NZL,1990,72.5,78.4
NZL,1991,72.9,78.7
NZL,1992,73.2,78.9
NZL,1993,73.5,79.1
NZL,1994,73.8,79.3
NZL,1995,74.1,79.5
NZL,1996,74.4,79.7
NZL,1997,74.8,80.0
NZL,1998,75.2,80.2
NZL,1999,75.6,80.5
NZL,2000,75.9,80.8
NZL,2001,76.3,81.1
NZL,2002,76.7,81.3
NZL,2003,77.0,81.5
NZL,2004,77.4,81.7
NZL,2005,77.7,81.9
NZL,2006,78.0,82.2
NZL,2007,78.2,82.3
NZL,2008,78.4,82.5
NZL,2009,78.7,82.6
NZL,2010,78.9,82.7
NZL,2011,79.1,82.9
NZL,2012,79.3,83.0
NZL,2013,79.5,83.2
NZL,2014,79.7,83.3
NZL,2015,79.9,83.4
POL,1960,64.9,70.6
POL,1961,64.9,70.8
POL,1962,64.5,70.5
POL,1963,65.4,71.5
POL,1964,65.8,71.6
POL,1965,66.6,72.4
POL,1966,66.9,72.9
POL,1967,66.4,72.6
POL,1968,67.0,73.6
POL,1969,66.5,73.1
POL,1970,66.6,73.3
POL,1971,66.1,73.3
POL,1972,67.3,74.2
POL,1973,67.2,74.3
POL,1974,67.8,74.6
POL,1975,67.0,74.3
POL,1976,66.9,74.6
POL,1977,66.5,74.5
POL,1978,66.4,74.5
POL,1979,66.8,74.9
POL,1980,66.0,74.4
POL,1981,67.1,75.2
POL,1982,67.2,75.2
POL,1983,67.0,75.2
POL,1984,66.8,75.0
POL,1985,66.9,75.3
POL,1986,66.8,75.1
POL,1987,67.8,75.2
POL,1988,67.2,75.7
POL,1989,66.8,75.5
POL,1990,66.3,75.3
POL,1991,65.9,75.1
POL,1992,66.5,75.6
POL,1993,67.2,75.9
POL,1994,67.5,76.1
POL,1995,67.7,76.4
POL,1996,68.1,76.6
POL,1997,68.5,77.0
POL,1998,68.9,77.4
POL,1999,68.8,77.5
POL,2000,69.6,78.0
POL,2001,70.0,78.4
POL,2002,70.3,78.8
POL,2003,70.5,78.8
POL,2004,70.6,79.2
POL,2005,70.8,79.3
POL,2006,70.9,79.7
POL,2007,71.0,79.8
POL,2008,71.3,80.0
POL,2009,71.5,80.1
POL,2010,72.2,80.7
POL,2011,72.5,81.1
POL,2012,72.6,81.1
POL,2013,73.0,81.2
POL,2014,73.7,81.7
POL,2015,73.5,81.6
PRT,1960,61.1,66.7
PRT,1961,59.9,65.4
PRT,1962,61.2,67.0
PRT,1963,61.8,67.6
PRT,1964,62.0,67.8
PRT,1965,62.6,68.9
PRT,1966,62.0,68.4
PRT,1967,62.8,69.2
PRT,1968,63.3,69.4
PRT,1969,62.8,69.0
PRT,1970,63.6,69.7
PRT,1971,63.1,69.7
PRT,1972,65.2,71.5
PRT,1973,64.4,70.6
PRT,1974,64.8,71.4
PRT,1975,64.6,72.1
PRT,1976,65.3,72.6
PRT,1977,66.4,73.7
PRT,1978,67.1,73.9
PRT,1979,67.9,74.7
PRT,1980,67.9,74.9
PRT,1981,68.2,75.2
PRT,1982,69.0,76.0
PRT,1983,69.0,75.8
PRT,1984,69.2,76.2
PRT,1985,69.4,76.5
PRT,1986,69.9,76.8
PRT,1987,70.3,77.2
PRT,1988,70.3,77.3
PRT,1989,70.9,77.9
PRT,1990,70.6,77.5
PRT,1991,70.5,77.7
PRT,1992,71.0,78.4
PRT,1993,71.0,78.1
PRT,1994,72.0,79.0
PRT,1995,71.7,79.0
PRT,1996,71.6,79.0
PRT,1997,72.2,79.4
PRT,1998,72.4,79.6
PRT,1999,72.7,79.8
PRT,2000,73.3,80.4
PRT,2001,73.6,80.7
PRT,2002,73.9,80.8
PRT,2003,74.2,80.8
PRT,2004,75.0,81.8
PRT,2005,74.9,81.5
PRT,2006,75.5,82.5
PRT,2007,75.9,82.5
PRT,2008,76.2,82.7
PRT,2009,76.5,82.8
PRT,2010,76.8,83.2
PRT,2011,77.3,83.8
PRT,2012,77.3,83.6
PRT,2013,77.6,84.0
PRT,2014,78.0,84.4
PRT,2015,78.1,84.3
RUS,1960,62.1,70.2
RUS,1961,62.6,70.8
RUS,1962,63.0,71.3
RUS,1963,63.2,71.7
RUS,1964,63.4,72.0
RUS,1965,63.4,72.2
RUS,1966,63.4,72.4
RUS,1967,63.4,72.6
