location,year,male,female
BRA,1978,58.4,64.7
BRA,1979,58.7,65.0
BRA,1980,58.9,65.3
BRA,1981,59.2,65.6
BRA,1982,59.4,66.0
BRA,1983,59.7,66.3
BRA,1984,59.9,66.7
BRA,1985,60.2,67.1
BRA,1986,60.5,67.5
BRA,1987,60.8,67.9
BRA,1988,61.0,68.3
BRA,1989,61.3,68.8
BRA,1990,61.7,69.2
BRA,1991,62.0,69.6
BRA,1992,62.4,70.1
BRA,1993,62.9,70.6
BRA,1994,63.3,71.1
BRA,1995,63.8,71.6
BRA,1996,64.3,72.1
BRA,1997,64.8,72.6
BRA,1998,65.3,73.1
BRA,1999,65.8,73.5
BRA,2000,66.3,74.0
BRA,2001,66.7,74.4
BRA,2002,67.1,74.8
BRA,2003,67.5,75.1
BRA,2004,67.8,75.5
BRA,2005,68.1,75.8
BRA,2006,68.4,76.0
BRA,2007,68.7,76.3
BRA,2008,69.0,76.6
BRA,2009,69.3,76.9
BRA,2010,69.6,77.2
BRA,2011,69.8,77.4
BRA,2012,70.1,77.7
BRA,2013,70.4,78.0
BRA,2014,70.7,78.3
BRA,2015,71.0,78.5
CAN,1961,68.4,74.2
CAN,1966,68.8,75.2
CAN,1971,69.3,76.4
CAN,1976,70.2,77.5
CAN,1979,71.4,78.8
CAN,1980,71.7,78.9
CAN,1981,71.9,79.0
CAN,1982,72.0,79.1
CAN,1983,72.3,79.4
CAN,1984,72.7,79.6
CAN,1985,72.9,79.7
CAN,1986,73.1,79.8
CAN,1987,73.3,79.9
CAN,1988,73.5,80.1
CAN,1989,73.7,80.3
CAN,1990,73.9,80.5
CAN,1991,74.3,80.7
CAN,1992,74.5,80.9
CAN,1993,74.7,80.9
CAN,1994,74.8,81.0
CAN,1995,74.9,80.9
CAN,1996,75.2,81.0
CAN,1997,75.4,81.1
CAN,1998,75.7,81.3
CAN,1999,76.0,81.4
CAN,2000,76.3,81.6
CAN,2001,76.6,81.8
CAN,2002,76.9,81.9
CAN,2003,77.1,82.0
CAN,2004,77.4,82.2
CAN,2005,77.6,82.3
CAN,2006,77.9,82.6
CAN,2007,78.1,82.7
CAN,2008,78.3,82.9
CAN,2009,78.5,83.0
CAN,2010,78.8,83.3
CAN,2011,79.1,83.5
CAN,2012,79.4,83.6
CAN,2013,79.6,83.8
CHE,1960,68.7,74.1
CHE,1961,68.9,74.6
CHE,1962,68.4,74.1
CHE,1963,68.3,74.3
CHE,1964,69.2,75.2
CHE,1965,69.5,75.1
CHE,1966,69.6,75.3
CHE,1967,69.7,75.8
CHE,1968,69.8,75.6
CHE,1969,69.7,75.7
CHE,1970,70.0,76.2
CHE,1971,70.2,76.3
CHE,1972,70.6,76.9
CHE,1973,71.0,77.1
CHE,1974,71.2,77.6
CHE,1975,71.5,78.1
CHE,1976,71.6,78.2
CHE,1977,72.0,78.8
CHE,1978,71.9,78.8
CHE,1979,72.3,79.0
CHE,1980,72.3,79.0
CHE,1981,72.5,79.3
CHE,1982,72.8,79.6
CHE,1983,72.7,79.7
CHE,1984,73.4,80.3
CHE,1985,73.5,80.4
CHE,1986,73.7,80.5
CHE,1987,74.0,80.9
CHE,1988,73.9,81.0
CHE,1989,74.1,81.2
CHE,1990,74.0,80.9
CHE,1991,74.2,81.4
CHE,1992,74.3,81.6
CHE,1993,75.0,81.7
